YEAR,CRUISE,DoY,LONGITUDE,LATITUDE,SST,SALINITY,fCO2_atm,fCO2_sw,pH
1996.766368,AMT3,281.2568824,-28.87941176,-5.620587647,26.37058824,36.0171,358.8588235,393.4294118,8.0551
1996.76699,AMT3,281.4855,-29.273335,-6.4816665,26.6505,36.018815,362.155,383.84,8.0633
1996.76772,AMT3,281.753381,-29.74285714,-7.484126667,26.81142857,36.05,357.5571429,385.5428571,8.0617
1996.768342,AMT3,281.9816875,-30.18333125,-8.459375,26.7,36.324925,361.23125,366.88125,8.0806
1996.768966,AMT3,282.2103889,-30.63518889,-9.475,26.47555556,36.26685556,357.1222222,362.4444444,8.0849
1996.769645,AMT3,282.4597143,-31.12300952,-10.54047143,26.38,36.32855714,363.1190476,363.3238095,8.0845
1996.77036,AMT3,282.722,-31.57381429,-11.51269524,26.23380952,36.48361429,362.3809524,359.9333333,8.0889
1996.770963,AMT3,282.9432857,-32.01904762,-12.50794286,25.96904762,36.80700952,360.1047619,359.9047619,8.0913
1996.771586,AMT3,283.1721176,-32.51274118,-13.52353529,25.69705882,36.92812941,359.8941176,356.6647059,8.0956
1996.772243,AMT3,283.4131818,-32.96439091,-14.54242273,25.98227273,36.80713182,360.5590909,356.8090909,8.0943
1996.773124,AMT3,283.7364,-33.414995,-15.482495,26.222,36.887845,362.065,361.92,8.0895
1996.773737,AMT3,283.9615,-33.871665,-16.49583,25.8425,37.117765,358.01,362.06,8.0914
1996.774318,AMT3,284.1745556,-34.33426111,-17.44073889,25.38777778,37.21404444,359.6777778,363.6888889,8.0912
1996.774957,AMT3,284.4091579,-34.83596316,-18.44561053,24.71578947,37.13148421,358.3263158,366.4263158,8.0891
1996.77578,AMT3,284.7112105,-35.32632105,-19.52544211,24.31947368,37.03075263,351.1105263,357.6736842,8.0974
1996.776373,AMT3,284.9289524,-35.77460476,-20.46905238,23.98571429,37.14240952,346.0904762,350.9333333,8.1052
1996.777029,AMT3,285.1696667,-36.28796111,-21.51203333,23.35944444,37.06409444,347,343.3722222,8.1132
1996.777734,AMT3,285.42855,-36.80417,-22.5925,22.7785,36.892945,347.24,337.605,8.1188
1996.778547,AMT3,285.7267,-37.237495,-23.48334,22.988,36.948785,348.725,342.04,8.1143
1996.779178,AMT3,285.9582,-37.739165,-24.481665,22.214,36.718165,336.25,331.675,8.1246
1996.779846,AMT3,286.20344,-38.485328,-25.495336,21.4188,36.693292,337.356,334.38,8.1226
1996.780552,AMT3,286.4625714,-39.41269524,-26.41904762,21.01428571,36.65477619,353.9761905,333.252381,8.124
1996.781567,AMT3,286.8350417,-40.4361125,-27.43194583,20.62791667,36.456475,342.7291667,336.275,8.1201
1996.782387,AMT3,287.136087,-41.54637826,-28.49637391,20.46086957,36.37318261,348.4565217,340.326087,8.1155
1996.783203,AMT3,287.4354815,-42.6246963,-29.5642037,19.84,36.34047407,347.6074074,332.6,8.124
1996.784045,AMT3,287.7446923,-43.60128077,-30.46794615,19.47307692,36.04509231,343.7615385,330.7807692,8.1245
1996.784912,AMT3,288.0625667,-44.70277333,-31.49388333,19.13866667,36.17542333,347.9966667,330.9266667,8.1255
1996.785841,AMT3,288.4038,-45.77722667,-32.50667333,18.72566667,36.15172,350.9066667,323.97,8.1332
1996.786901,AMT3,288.7927778,-46.86544074,-33.50123704,17.87777778,35.97328148,351.4148148,318.4518519,8.139
1996.787776,AMT3,289.1137,-47.93889333,-34.495,18.43,35.79541667,355.27,322.6566667,8.1328
1996.788764,AMT3,289.4764242,-49.27424242,-35.50404848,16.25242424,35.2562303,362.2666667,308.1636364,8.1477
1996.789893,AMT3,289.8909143,-50.47285714,-36.47048,17.76314286,35.88270571,358.46,322.2628571,8.1343
1996.791332,AMT3,290.41892,-52.008662,-37.529332,17.82,35.785896,364.936,318.014,8.1384
1996.809412,AMT3,297.05425,-55,-40.73335,9.335,34.0855,366.2,324.825,8.1231
1996.809776,AMT3,297.1877333,-54.98886667,-41.53999333,9.216,34.07668667,366.6733333,327.98,8.1194
1996.810208,AMT3,297.3461667,-54.9833,-42.48611667,9.333333333,34.29086667,366.4166667,330.7166667,8.1175
1996.811007,AMT3,297.639625,-55.01458125,-43.61459375,10.95625,34.65918125,367.66875,356.90625,8.0916
1996.811746,AMT3,297.910625,-54.972925,-44.7270625,11.29625,34.72185,365.3875,348.975,8.1004
